id,title,category,priority,duration_minutes,details,frequency,facilitator_role,resource_pool,location,remote_allowed,equipment_required,prep_required,backup_activity_ids,skip_adjustment,metrics,preferred_time_windows
activity_023,Joint Care Flow - Joint Care,Fitness routine / exercise,76,30,Move through controlled range-of-motion work and keep breathing relaxed.,"{""times"": 1, ""period"": ""day""}",physiotherapist,allied_health,gym,True,"[""yoga_mat""]","[""Yoga mat ready"", ""Quiet floor space""]","[""activity_027""]",Move to the next free slot within 48 hours and lower intensity by one step.,"[""pain_score"", ""stiffness_score""]","[""early_morning"", ""evening""]"
activity_027,Visual Mobility Routine - Recovery Focus,Fitness routine / exercise,75,20,Alternate near and far focus work with controlled visual tracking drills.,"{""times"": 1, ""period"": ""day""}",self_guided,self,office,True,[],"[""Timer prepared""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""screen_break_count"", ""eye_strain_score"", ""routine_minutes""]","[""midday"", ""evening""]"
activity_051,Post-Workout Smoothie - Protein Rebuild,Food consumption,72,15,Blend protein and hydration-supportive ingredients after higher-load training.,"{""times"": 2, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Frozen ingredients portioned""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""protein_grams"", ""recovery_score_next_day"", ""hydration_ml""]","[""morning"", ""evening""]"
activity_041,Balanced Dinner - Metabolic Support,Food consumption,70,40,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 3, ""period"": ""week""}",dietitian,allied_health,home,True,[],"[""Vegetables chopped in advance"", ""Dinner ingredients thawed""]","[""activity_051""]",Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""sleep_quality_next_day""]","[""evening""]"
activity_064,Recovery Magnesium Dose - Travel-Safe Pack,Medication consumption,93,10,Take magnesium in the evening and monitor any effect on sleep readiness.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""sleep_latency"", ""dose_taken"", ""GI_tolerance""]","[""evening""]"
activity_061,Planned Injection Window - Maintenance Cycle,Medication consumption,90,15,Administer the weekly medication during a stable routine window and record the site used.,"{""times"": 1, ""period"": ""week""}",self_guided,self,home,False,[],"[""Injection supplies prepared"", ""Sharps bin nearby""]","[""activity_064""]",Flag for clinician review if skipped; do not double dose without instructions.,"[""dose_taken"", ""injection_site"", ""symptom_score_next_day""]","[""evening""]"
activity_082,Recovery Boot Session - Inflammation Support,Therapy,78,20,Use lower-limb compression after demanding training blocks to support recovery.,"{""times"": 2, ""period"": ""week""}",self_guided,self,recovery_center,False,"[""compression_boots""]","[""Elevate legs after session""]",[],Reschedule within the same week if symptoms are stable; otherwise mark for manual review.,"[""session_minutes"", ""recovery_score""]","[""evening""]"
activity_099,Thermal Session - Inflammation Support,Therapy,78,40,Use a moderate-duration heat exposure and cool down gradually afterwards.,"{""times"": 1, ""period"": ""week""}",self_guided,self,recovery_center,False,"[""sauna_room""]","[""Bring towel""]","[""activity_082""]",Reschedule within the same week if symptoms are stable; otherwise mark for manual review.,"[""post_weight"", ""pre_weight""]","[""evening""]"
activity_120,Primary Care Review - Follow-Up,Consultation,87,45,"Review symptoms, medication adherence, and recent health trends with the physician.","{""times"": 1, ""period"": ""month""}",primary_care_physician,specialist,clinic,True,[],"[""Prepare question list"", ""Upload recent metrics summary""]","[""activity_101""]",Rebook the next available provider slot and send the latest metrics summary ahead of time.,"[""blood_pressure_reading"", ""weight""]","[""morning"", ""afternoon""]"
activity_101,Lab Testing Appointment - Follow-Up,Consultation,85,45,Complete planned bloodwork or diagnostic testing and confirm follow-up routing.,"{""times"": 1, ""period"": ""month""}",lab_technician,specialist,lab,False,"[""lab_kit""]","[""Bring requisition form""]","[""activity_120""]",Book the next morning lab slot and preserve fasting instructions.,"[""sample_quality"", ""follow_up_booked""]","[""morning""]"
