event_id,activity_id,activity_title,category,priority,frequency,start,end,duration_minutes,location,mode,assigned_provider,assigned_equipment,backup_for,details,metrics
activity_121_20260401T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-01T06:00:00,2026-04-01T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_036_20260401T063000,activity_036,Balanced Breakfast - Protein Rebuild,Food consumption,71,4 per week,2026-04-01T06:30:00,2026-04-01T07:00:00,30,home,in_person,,equipment_08,,"Build breakfast around protein, fiber, and steady energy release.","fiber_grams, protein_grams, post_meal_energy"
activity_104_20260401T080000,activity_104,Lab Testing Appointment - Check-In,Consultation,94,1 per month,2026-04-01T08:00:00,2026-04-01T08:30:00,30,lab,in_person,City Lab Team,equipment_09,,Complete planned bloodwork or diagnostic testing and confirm follow-up routing.,"sample_quality, follow_up_booked"
activity_081_20260401T180000,activity_081,Guided Breathing - Sleep Support,Therapy,78,3 per week,2026-04-01T18:00:00,2026-04-01T18:15:00,15,home,in_person,,,,Use slow exhale-biased breathing to lower evening stress load and improve sleep onset.,"stress_score_post, sleep_latency"
activity_121_20260402T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-02T06:00:00,2026-04-02T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_030_20260402T073000,activity_030,Outdoor Walk - Aerobic Base,Fitness routine / exercise,73,3 per week,2026-04-02T07:30:00,2026-04-02T08:00:00,30,park,in_person,,,,Walk at a pace that slightly elevates breathing while keeping posture tall.,"average_pace, steps, distance_km"
activity_123_20260402T100000,activity_123,Dietitian Consultation - Hypertension Meal Plan,Consultation,92,2 per month,2026-04-02T10:00:00,2026-04-02T10:45:00,45,clinic,in_person,Chloe Ng,,,"Review sodium intake, meal timing, grocery habits, and adherence to a cardiometabolic-friendly meal plan.","sodium_target_met, meal_adherence_score, action_items_created"
activity_037_20260402T183000,activity_037,Sleep-Support Dinner - Energy Stabilizer,Food consumption,71,3 per week,2026-04-02T18:30:00,2026-04-02T19:00:00,30,home,in_person,,,,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","sleep_quality_next_day, fiber_grams, meal_finish_time"
activity_121_20260403T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-03T06:00:00,2026-04-03T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_036_20260403T063000,activity_036,Balanced Breakfast - Protein Rebuild,Food consumption,71,4 per week,2026-04-03T06:30:00,2026-04-03T07:00:00,30,home,in_person,,equipment_08,,"Build breakfast around protein, fiber, and steady energy release.","fiber_grams, protein_grams, post_meal_energy"
