id,title,category,priority,duration_minutes,details,frequency,facilitator_role,resource_pool,location,remote_allowed,equipment_required,prep_required,backup_activity_ids,skip_adjustment,metrics
activity_001,Outdoor Walk - Core Stability,Fitness routine / exercise,62,45,Walk at a pace that slightly elevates breathing while keeping posture tall.,"{""times"": 3, ""period"": ""week""}",self_guided,self,park,False,[],"[""Comfortable walking shoes""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""steps"", ""average_pace""]"
activity_002,Breath-Led Yoga - Joint Care,Fitness routine / exercise,74,45,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",physiotherapist,allied_health,home,True,"[""yoga_mat""]","[""Reduce screen exposure beforehand"", ""Set up quiet room""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post""]"
activity_003,Zone 2 Treadmill Session - Core Stability,Fitness routine / exercise,74,45,Maintain a sustainable aerobic effort and log exertion after the session.,"{""times"": 3, ""period"": ""week""}",exercise_physiologist,allied_health,gym,True,"[""treadmill""]","[""Bring water bottle"", ""Light dynamic warm-up""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""heart_rate_average"", ""rpe""]"
activity_004,Visual Mobility Routine - Mobility Reset,Fitness routine / exercise,71,15,Alternate near and far focus work with controlled visual tracking drills.,"{""times"": 1, ""period"": ""day""}",occupational_therapist,allied_health,home,True,[],"[""Screen brightness reduced"", ""Timer prepared""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""screen_break_count"", ""eye_strain_score""]"
activity_005,Breath-Led Yoga - Mobility Reset,Fitness routine / exercise,70,30,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",physiotherapist,allied_health,home,True,"[""yoga_mat""]","[""Reduce screen exposure beforehand"", ""Set up quiet room""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post""]"
activity_006,Posterior Chain Session - Recovery Focus,Fitness routine / exercise,67,75,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",exercise_physiologist,allied_health,gym,True,"[""dumbbell_set""]","[""Prepare workout log"", ""Complete activation drills""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""sets_completed"", ""session_rpe"", ""load_used""]"
activity_007,Posterior Chain Session - Aerobic Base,Fitness routine / exercise,76,75,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",strength_coach,allied_health,gym,True,"[""dumbbell_set""]","[""Complete activation drills"", ""Prepare workout log""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""load_used"", ""sets_completed"", ""session_rpe""]"
activity_008,Cardio Recovery Treadmill Session - Mobility Reset,Fitness routine / exercise,64,60,Maintain a sustainable aerobic effort and log exertion after the session.,"{""times"": 2, ""period"": ""week""}",self_guided,self,gym,False,"[""treadmill""]","[""Bring water bottle"", ""Light dynamic warm-up""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""distance_km"", ""rpe""]"
activity_009,Resistance Session - Joint Care,Fitness routine / exercise,64,60,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",strength_coach,allied_health,gym,True,"[""dumbbell_set""]","[""Complete activation drills"", ""Prepare workout log""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_rpe"", ""load_used""]"
activity_010,Cadence Bike Session - Recovery Focus,Fitness routine / exercise,62,45,Alternate harder efforts with recovery segments and track response across intervals.,"{""times"": 1, ""period"": ""week""}",self_guided,self,gym,False,"[""stationary_bike""]","[""Hydrate before session""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_rpe"", ""peak_heart_rate""]"
activity_011,Resistance Session - Core Stability,Fitness routine / exercise,75,60,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",strength_coach,allied_health,gym,True,"[""dumbbell_set""]","[""Complete activation drills""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""sets_completed"", ""session_rpe"", ""load_used""]"
activity_012,Recovery Walk - Recovery Focus,Fitness routine / exercise,61,45,Walk at a pace that slightly elevates breathing while keeping posture tall.,"{""times"": 4, ""period"": ""week""}",self_guided,self,park,False,[],"[""Comfortable walking shoes""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""steps"", ""average_pace""]"
activity_013,Recovery Yoga - Recovery Focus,Fitness routine / exercise,62,45,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",physiotherapist,allied_health,home,True,"[""yoga_mat""]","[""Set up quiet room""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post""]"
activity_014,Tempo Bike Session - Recovery Focus,Fitness routine / exercise,72,45,Alternate harder efforts with recovery segments and track response across intervals.,"{""times"": 2, ""period"": ""week""}",exercise_physiologist,allied_health,gym,True,"[""stationary_bike""]","[""Review interval targets"", ""Hydrate before session""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""interval_count"", ""peak_heart_rate""]"
activity_015,Cardio Recovery Run - Core Stability,Fitness routine / exercise,61,45,Maintain a sustainable aerobic effort and log exertion after the session.,"{""times"": 2, ""period"": ""week""}",self_guided,self,park,False,[],"[""Light dynamic warm-up""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""distance_km"", ""heart_rate_average""]"
activity_016,Guided Yoga - Joint Care,Fitness routine / exercise,76,45,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",self_guided,self,home,False,"[""yoga_mat""]","[""Set up quiet room"", ""Reduce screen exposure beforehand""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post"", ""sleep_readiness""]"
