activity_id,activity_title,proposed_start,reason,skip_adjustment
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T07:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T08:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T09:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T09:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T10:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T10:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T11:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T11:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T12:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-01T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T06:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T07:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T07:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T08:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T08:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T09:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T09:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T11:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T11:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T12:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T18:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
