"id","title","category","priority","duration_minutes","details","frequency","facilitator_role","resource_pool","location","remote_allowed","equipment_required","prep_required","backup_activity_ids","skip_adjustment","metrics"
"activity_121","Morning Blood Pressure + Medication Routine","Medication consumption","98","15","Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","{""times"":1,""period"":""day""}","self_guided","self","home","False","[""blood_pressure_cuff""]","[""Medication organizer refilled"",""Blood pressure cuff placed near medication""]","[]","If missed, record the reason and resume the next scheduled dose without doubling medication.","[""blood_pressure_reading"",""dose_taken"",""symptom_flag""]"
"activity_105","Primary Care Review - Check-In","Consultation","94","45","Review symptoms, medication adherence, and recent health trends with the physician.","{""times"":1,""period"":""month""}","primary_care_physician","specialist","clinic","True","[]","[""Upload recent metrics summary""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""blood_pressure_reading"",""questions_answered""]"
"activity_104","Lab Testing Appointment - Check-In","Consultation","94","30","Complete planned bloodwork or diagnostic testing and confirm follow-up routing.","{""times"":1,""period"":""month""}","lab_technician","specialist","lab","False","[""lab_kit""]","[""Follow fasting instructions""]","[]","Book the next morning lab slot and preserve fasting instructions.","[""sample_quality"",""follow_up_booked""]"
"activity_123","Dietitian Consultation - Hypertension Meal Plan","Consultation","92","45","Review sodium intake, meal timing, grocery habits, and adherence to a cardiometabolic-friendly meal plan.","{""times"":2,""period"":""month""}","dietitian","allied_health","clinic","True","[]","[""3-day food log completed"",""Recent blood pressure summary available""]","[]","Rebook within the same fortnight and send the meal log ahead of the replacement session.","[""sodium_target_met"",""meal_adherence_score"",""action_items_created""]"
"activity_110","Sleep Coaching Call - Plan Tuning","Consultation","78","30","Review bedtime consistency, evening routine, and overnight recovery patterns.","{""times"":1,""period"":""week""}","health_coach","allied_health","home","True","[]","[""Sleep tracker summary exported""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""sleep_latency"",""sleep_duration""]"
"activity_081","Guided Breathing - Sleep Support","Therapy","78","15","Use slow exhale-biased breathing to lower evening stress load and improve sleep onset.","{""times"":3,""period"":""week""}","self_guided","self","home","False","[]","[""Lights dimmed"",""Phone on silent""]","[]","Reschedule within the same week if symptoms are stable; otherwise mark for manual review.","[""stress_score_post"",""sleep_latency""]"
"activity_039","Fluid Checkpoint - Energy Stabilizer","Food consumption","70","10","Pause for a structured hydration target and record intake progress.","{""times"":1,""period"":""day""}","health_coach","allied_health","office","True","[]","[""Water bottle filled""]","[]","Replace with the closest balanced meal option and record deviation in the nutrition log.","[""hydration_ml"",""urine_color_score""]"
"activity_036","Balanced Breakfast - Protein Rebuild","Food consumption","71","30","Build breakfast around protein, fiber, and steady energy release.","{""times"":4,""period"":""week""}","self_guided","self","home","False","[""blender_station""]","[""Ingredients prepped the night before"",""Breakfast logged in nutrition app""]","[]","Replace with the closest balanced meal option and record deviation in the nutrition log.","[""fiber_grams"",""protein_grams"",""post_meal_energy""]"
"activity_037","Sleep-Support Dinner - Energy Stabilizer","Food consumption","71","30","Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"":3,""period"":""week""}","self_guided","self","home","False","[]","[""Vegetables chopped in advance"",""Dinner ingredients thawed""]","[]","Replace with the closest balanced meal option and record deviation in the nutrition log.","[""sleep_quality_next_day"",""fiber_grams"",""meal_finish_time""]"
"activity_030","Outdoor Walk - Aerobic Base","Fitness routine / exercise","73","30","Walk at a pace that slightly elevates breathing while keeping posture tall.","{""times"":3,""period"":""week""}","self_guided","self","park","False","[]","[""Comfortable walking shoes""]","[]","Move to the next free slot within 48 hours and lower intensity by one step.","[""average_pace"",""steps"",""distance_km""]"
