event_id,activity_id,activity_title,category,priority,frequency,start,end,duration_minutes,location,mode,assigned_provider,assigned_equipment,backup_for,details,metrics
activity_121_20260401T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-01T06:00:00,2026-04-01T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_016_20260401T063000,activity_016,Guided Yoga - Joint Care,Fitness routine / exercise,76,2 per week,2026-04-01T06:30:00,2026-04-01T07:15:00,45,home,in_person,,equipment_04,,Use slow transitions and extended exhales to support recovery and mobility.,"session_minutes, stress_score_post, sleep_readiness"
activity_104_20260401T080000,activity_104,Lab Testing Appointment - Check-In,Consultation,94,1 per month,2026-04-01T08:00:00,2026-04-01T08:30:00,30,lab,in_person,City Lab Team,equipment_09,,Complete planned bloodwork or diagnostic testing and confirm follow-up routing.,"sample_quality, follow_up_booked"
activity_122_20260401T120000,activity_122,Post-Meal Walk - Glucose Control,Fitness routine / exercise,83,4 per week,2026-04-01T12:00:00,2026-04-01T12:20:00,20,park,in_person,,,,"Take a brisk walk after a main meal to support glucose control, blood pressure management, and daily activity consistency.","steps, walk_minutes, post_meal_energy"
activity_126_20260401T180000,activity_126,Evening Breathing Reset - Blood Pressure Support,Therapy,84,3 per week,2026-04-01T18:00:00,2026-04-01T18:15:00,15,home,in_person,,,,"Complete guided slow breathing in the evening to lower stress load, support sleep onset, and reinforce blood pressure control habits.","session_minutes, stress_score_post, sleep_latency"
activity_121_20260402T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-02T06:00:00,2026-04-02T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_123_20260402T100000,activity_123,Dietitian Consultation - Hypertension Meal Plan,Consultation,92,2 per month,2026-04-02T10:00:00,2026-04-02T10:45:00,45,clinic,in_person,Chloe Ng,,,"Review sodium intake, meal timing, grocery habits, and adherence to a cardiometabolic-friendly meal plan.","sodium_target_met, meal_adherence_score, action_items_created"
activity_122_20260402T120000,activity_122,Post-Meal Walk - Glucose Control,Fitness routine / exercise,83,4 per week,2026-04-02T12:00:00,2026-04-02T12:20:00,20,park,in_person,,,,"Take a brisk walk after a main meal to support glucose control, blood pressure management, and daily activity consistency.","steps, walk_minutes, post_meal_energy"
activity_125_20260402T183000,activity_125,Low-Sodium Dinner Prep - DASH Support,Food consumption,82,3 per week,2026-04-02T18:30:00,2026-04-02T19:00:00,30,home,in_person,,,,"Prepare a high-fiber, lower-sodium dinner built around vegetables, lean protein, and portion-controlled carbohydrates.","sodium_estimate_mg, vegetable_servings, meal_finish_time"
activity_121_20260403T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-03T06:00:00,2026-04-03T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_122_20260403T120000,activity_122,Post-Meal Walk - Glucose Control,Fitness routine / exercise,83,4 per week,2026-04-03T12:00:00,2026-04-03T12:20:00,20,park,in_person,,,,"Take a brisk walk after a main meal to support glucose control, blood pressure management, and daily activity consistency.","steps, walk_minutes, post_meal_energy"
activity_075_20260403T180000,activity_075,Medication Check - Evening Routine,Medication consumption,91,1 per month,2026-04-03T18:00:00,2026-04-03T18:20:00,20,home,in_person,Felicia Ong,,,Review remaining medication supply and place a refill request before the final week of stock.,"refill_requested, med_list_updated"
activity_126_20260403T183000,activity_126,Evening Breathing Reset - Blood Pressure Support,Therapy,84,3 per week,2026-04-03T18:30:00,2026-04-03T18:45:00,15,home,in_person,,,,"Complete guided slow breathing in the evening to lower stress load, support sleep onset, and reinforce blood pressure control habits.","session_minutes, stress_score_post, sleep_latency"
activity_121_20260404T060000,activity_121,Morning Blood Pressure + Medication Routine,Medication consumption,98,1 per day,2026-04-04T06:00:00,2026-04-04T06:15:00,15,home,in_person,,equipment_10,,"Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","blood_pressure_reading, dose_taken, symptom_flag"
activity_016_20260404T063000,activity_016,Guided Yoga - Joint Care,Fitness routine / exercise,76,2 per week,2026-04-04T06:30:00,2026-04-04T07:15:00,45,home,in_person,,equipment_04,,Use slow transitions and extended exhales to support recovery and mobility.,"session_minutes, stress_score_post, sleep_readiness"
