"id","title","category","priority","duration_minutes","details","frequency","facilitator_role","resource_pool","location","remote_allowed","equipment_required","prep_required","backup_activity_ids","skip_adjustment","metrics"
"activity_121","Morning Blood Pressure + Medication Routine","Medication consumption","98","15","Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","{""times"":1,""period"":""day""}","self_guided","self","home","False","[""blood_pressure_cuff""]","[""Medication organizer refilled"",""Blood pressure cuff placed near medication""]","[]","If missed, record the reason and resume the next scheduled dose without doubling medication.","[""blood_pressure_reading"",""dose_taken"",""symptom_flag""]"
"activity_105","Primary Care Review - Check-In","Consultation","94","45","Review symptoms, medication adherence, and recent health trends with the physician.","{""times"":1,""period"":""month""}","primary_care_physician","specialist","clinic","True","[]","[""Upload recent metrics summary""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""blood_pressure_reading"",""questions_answered""]"
"activity_104","Lab Testing Appointment - Check-In","Consultation","94","30","Complete planned bloodwork or diagnostic testing and confirm follow-up routing.","{""times"":1,""period"":""month""}","lab_technician","specialist","lab","False","[""lab_kit""]","[""Follow fasting instructions""]","[]","Book the next morning lab slot and preserve fasting instructions.","[""sample_quality"",""follow_up_booked""]"
"activity_117","Physiotherapy Review - Plan Tuning","Consultation","84","60","Assess mobility constraints and exercise tolerance, then adjust the movement plan.","{""times"":2,""period"":""month""}","physiotherapist","allied_health","clinic","True","[]","[""Training log available""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""exercise_modifications"",""range_of_motion"",""pain_score""]"
"activity_078","Weekly Injection Window - Maintenance Cycle","Medication consumption","86","15","Administer the weekly medication during a stable routine window and record the site used.","{""times"":1,""period"":""week""}","self_guided","self","home","False","[]","[""Sharps bin nearby""]","[]","Flag for clinician review if skipped; do not double dose without instructions.","[""symptom_score_next_day"",""injection_site""]"
"activity_122","Post-Meal Walk - Glucose Control","Fitness routine / exercise","83","20","Take a brisk walk after a main meal to support glucose control, blood pressure management, and daily activity consistency.","{""times"":4,""period"":""week""}","self_guided","self","park","False","[]","[""Walking shoes ready"",""Last meal time logged""]","[]","Move the session to the next available daylight slot within 24 hours and record the reason if skipped.","[""steps"",""walk_minutes"",""post_meal_energy""]"
"activity_116","Dietitian Consultation - Plan Tuning","Consultation","76","45","Review meal adherence, travel eating patterns, and nutrition barriers.","{""times"":2,""period"":""month""}","dietitian","allied_health","clinic","True","[]","[""Photos of recent meals available"",""Food diary updated""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""meal_adherence_score"",""weight_trend"",""action_items_created""]"
"activity_017","Mobility Flow - Recovery Focus","Fitness routine / exercise","64","30","Move through controlled range-of-motion work and keep breathing relaxed.","{""times"":3,""period"":""week""}","physiotherapist","allied_health","home","True","[""yoga_mat""]","[""Yoga mat ready"",""Quiet floor space""]","[]","Move to the next free slot within 48 hours and lower intensity by one step.","[""stiffness_score"",""pain_score"",""mobility_minutes""]"
"activity_119","Sleep Coaching Call - Quarterly Review","Consultation","71","30","Review bedtime consistency, evening routine, and overnight recovery patterns.","{""times"":1,""period"":""week""}","health_coach","allied_health","home","True","[]","[""Sleep tracker summary exported""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""sleep_latency"",""sleep_duration""]"
"activity_046","Low-Glycemic Lunch - Protein Rebuild","Food consumption","64","30","Use lean protein, vegetables, and stable carbohydrates for lunch composition.","{""times"":3,""period"":""week""}","self_guided","self","home","False","[]","[""Meal prep container ready""]","[]","Replace with the closest balanced meal option and record deviation in the nutrition log.","[""satiety_score"",""post_meal_glucose""]"
