"id","title","category","priority","duration_minutes","details","frequency","facilitator_role","resource_pool","location","remote_allowed","equipment_required","prep_required","backup_activity_ids","skip_adjustment","metrics"
"activity_121","Morning Blood Pressure + Medication Routine","Medication consumption","98","15","Check blood pressure before the morning dose, take the prescribed medication, and log both readings for clinician review.","{""times"":1,""period"":""day""}","self_guided","self","home","False","[""blood_pressure_cuff""]","[""Medication organizer refilled"",""Blood pressure cuff placed near medication""]","[]","If missed, record the reason and resume the next scheduled dose without doubling medication.","[""blood_pressure_reading"",""dose_taken"",""symptom_flag""]"
"activity_105","Primary Care Review - Check-In","Consultation","94","45","Review symptoms, medication adherence, and recent health trends with the physician.","{""times"":1,""period"":""month""}","primary_care_physician","specialist","clinic","True","[]","[""Upload recent metrics summary""]","[]","Rebook the next available provider slot and send the latest metrics summary ahead of time.","[""blood_pressure_reading"",""questions_answered""]"
"activity_104","Lab Testing Appointment - Check-In","Consultation","94","30","Complete planned bloodwork or diagnostic testing and confirm follow-up routing.","{""times"":1,""period"":""month""}","lab_technician","specialist","lab","False","[""lab_kit""]","[""Follow fasting instructions""]","[]","Book the next morning lab slot and preserve fasting instructions.","[""sample_quality"",""follow_up_booked""]"
"activity_123","Dietitian Consultation - Hypertension Meal Plan","Consultation","92","45","Review sodium intake, meal timing, grocery habits, and adherence to a cardiometabolic-friendly meal plan.","{""times"":2,""period"":""month""}","dietitian","allied_health","clinic","True","[]","[""3-day food log completed"",""Recent blood pressure summary available""]","[]","Rebook within the same fortnight and send the meal log ahead of the replacement session.","[""sodium_target_met"",""meal_adherence_score"",""action_items_created""]"
"activity_075","Medication Check - Evening Routine","Medication consumption","91","20","Review remaining medication supply and place a refill request before the final week of stock.","{""times"":1,""period"":""month""}","health_coach","allied_health","home","True","[]","[""Pharmacy details available""]","[]","Flag for clinician review if skipped; do not double dose without instructions.","[""refill_requested"",""med_list_updated""]"
"activity_124","Health Coaching Review - Blood Pressure Check-In","Consultation","88","30","Review home blood pressure trends, symptom notes, walking adherence, and barriers to maintaining the care plan.","{""times"":2,""period"":""month""}","health_coach","allied_health","home","True","[]","[""Blood pressure log updated"",""Questions prepared for coaching call""]","[]","Reschedule within 7 days and keep logging readings until the follow-up is completed.","[""blood_pressure_reading"",""habit_adherence_score"",""action_items_created""]"
"activity_126","Evening Breathing Reset - Blood Pressure Support","Therapy","84","15","Complete guided slow breathing in the evening to lower stress load, support sleep onset, and reinforce blood pressure control habits.","{""times"":3,""period"":""week""}","self_guided","self","home","False","[]","[""Phone on silent"",""Lights dimmed""]","[]","Move to the next available evening slot in the same week and note any symptoms if it is skipped.","[""session_minutes"",""stress_score_post"",""sleep_latency""]"
"activity_122","Post-Meal Walk - Glucose Control","Fitness routine / exercise","83","20","Take a brisk walk after a main meal to support glucose control, blood pressure management, and daily activity consistency.","{""times"":4,""period"":""week""}","self_guided","self","park","False","[]","[""Walking shoes ready"",""Last meal time logged""]","[]","Move the session to the next available daylight slot within 24 hours and record the reason if skipped.","[""steps"",""walk_minutes"",""post_meal_energy""]"
"activity_125","Low-Sodium Dinner Prep - DASH Support","Food consumption","82","30","Prepare a high-fiber, lower-sodium dinner built around vegetables, lean protein, and portion-controlled carbohydrates.","{""times"":3,""period"":""week""}","self_guided","self","home","False","[]","[""Groceries stocked"",""Dinner ingredients thawed""]","[]","Replace with the closest low-sodium home meal and record the substitution in the nutrition log.","[""sodium_estimate_mg"",""vegetable_servings"",""meal_finish_time""]"
"activity_016","Guided Yoga - Joint Care","Fitness routine / exercise","76","45","Use slow transitions and extended exhales to support recovery and mobility.","{""times"":2,""period"":""week""}","self_guided","self","home","False","[""yoga_mat""]","[""Set up quiet room"",""Reduce screen exposure beforehand""]","[]","Move to the next free slot within 48 hours and lower intensity by one step.","[""session_minutes"",""stress_score_post"",""sleep_readiness""]"
