activity_id,activity_title,proposed_start,reason,skip_adjustment
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-04-13T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-04-14T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-04-15T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-04-16T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-04-17T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-05T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-06T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-07T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-08T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-09T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-10T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-11T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
